id;nome;especie;desc1;desc2;categoria
1;Urso Polar;Ursus maritimus;O rei gelado do Ártico. Majestoso, letal e absurdamente fofo (mas só de longe). O urso polar é basicamente um tanque de guerra coberto de neve. Mestre da camuflagem no gelo, ele caça focas com a paciência de um monge e a eficiência de um sniper. Apesar da aparência fofa, é uma das criaturas mais letais do planeta. Se você ver um de perto… boa noite...;Nadador olímpico, caça focas como quem pede iFood. O autor deste site é obcecado por ele. <br> - Tem entre 2,4 a 3,0m de altura (em pé). <br> - Pesa entre 350 a 700kg. <br> - Hábitat: Ártico.<br> Alimentação: Carnívoro (focas, principalmente) <br> - Curiosidade: Sua pele é preta e o pelo é translúcido — parece branco por causa da luz. 🐻‍❄;top_animais
2;Golden Retriever;Canis lupus familiaris;O funcionário do mês da simpatia canina. Sabe dar a patinha e roubar seu coração.O golden é o equivalente canino de um abraço apertado depois de um dia ruim. Leal, sorridente, bobão e sempre disposto a fazer amizade até com o ladrão. Se existisse vestibular pra simpatia, ele passaria de primeira — mas provavelmente morderia a prova antes.;O tipo que sorri até quando derruba o vaso favorito da sua mãe. <br> Altura: 51 a 61 cm<br> - Peso: 25 a 35 kg<br> - Temperamento: Extrovertido, carinhoso, destruidor de chinelos<br> - Inteligência: Alta, mas disfarçada de bobeira.<br> - Fun fact: Quase todos são "lambeirões" e vivem molhados por algum motivo;caes
3;Pitbull;Canis lupus familiaris;Segundo a doutora Ingrid, é puro amor em forma de músculo. Se ela falou, quem sou eu pra duvidar?;Ignorado por quem só vê cara de bravo, mas idolatrado por quem conhece o coração de manteiga.;caes
4;Urso Pardo;Ursus arctos;Parece fofo, mas dá um tapa que você acorda em Nárnia. Mestre em comer salmão e intimidar campistas. Irmão parrudo do urso polar, o urso pardo é o tipo de bicho que não pede passagem — ele toma. Onívoro e oportunista, come de tudo: frutas, peixes, lixo de acampamento e até sua barraca. Dorme metade do ano e ainda sai da toca gigante e irritado.;Ama mel, caminhadas e demonstrar dominância com apenas um olhar.<br> - Altura: até 2,8 metros (em pé)<br> - Peso: 150 a 600 kg<br> - Habitat: Florestas da América do Norte, Europa e Ásia<br> - Alimentação: Onívoro (mel, salmão, vegetais, carne)<br> - Curiosidade: Apesar do tamanho, corre até 56 km/h;top_animais
5;Pug;Canis lupus familiaris;Pequeno, barulhento e sempre com cara de quem esqueceu onde tá. Mas irresistível. Parece que foi desenhado por uma criança com pressa — e é por isso que todo mundo ama o pug. Tem cara de quem tá sempre tentando entender o universo, mas na real só quer dormir e respirar (o que já é difícil). Um suspiro ambulante com olhos esbugalhados.;Respira alto como um velho de 80, mas ainda assim arranca “awwwn” onde passa. Altura: 25 a 30 cm<br> - Peso: 6 a 8 kg<br> - Respirador: 24h com barulho de motorzinho<br> - Personalidade: Teimoso, carinhoso, palhaço nato<br> - Curiosidade: Ronca como um idoso de 90 anos;caes
6;Chihuahua;Canis lupus familiaris;Cabe numa xícara, mas late como se fosse dono do bairro.;Pequeno general ansioso com complexo de Napoleão e energia de um Red Bull ambulante.;caes
7;Urso Negro Americano;Ursus americanus;Mais sociável que os outros ursos. Se tivesse Wi-Fi no mato, já teria TikTok.;Especialista em escaladas e fugas dramáticas. Curioso e faminto em tempo integral.;top_animais
8;Border Collie;Canis lupus familiaris;O Einstein dos cães. Inteligente, ágil e obcecado por bolinhas e controle total.;Treina seus donos melhor do que qualquer adestrador da cidade.;caes
9;Shih Tzu;Canis lupus familiaris;Pequeno, peludo e dono da casa (inclusive a sua).;Um reizinho zen que anda como se tivesse hora marcada no spa.;caes
10;Urso-de-óculos;Tremarctos ornatus;O único urso da América do Sul. Carismático, pacífico e dono de um visual acadêmico.;Parece que usa óculos porque está cansado da sua ignorância ecológica.;top_animais
